Date,Open,High,Low,Close,Previous Close,Change,Percent Change,Index Name,Fund Name
2025-09-25,25034.5,25092.7,24878.3,24890.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-26,24818.55,24868.6,24629.45,24654.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-29,24728.55,24791.3,24606.2,24634.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-09-30,24691.95,24731.8,24587.7,24611.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-01,24620.55,24867.95,24605.95,24836.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-03,24759.55,24904.8,24747.55,24894.25,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-06,24916.55,25095.95,24881.65,25077.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-07,25085.3,25220.9,25076.3,25108.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-08,25079.75,25192.5,25008.5,25046.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-09,25074.3,25199.25,25024.3,25181.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-10,25167.65,25330.75,25156.85,25285.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-13,25177.3,25267.3,25152.3,25227.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-14,25277.55,25310.35,25060.55,25145.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-15,25181.95,25365.15,25159.35,25323.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-16,25394.9,25625.4,25376.85,25585.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-17,25546.85,25781.5,25508.6,25709.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-20,25824.6,25926.2,25788.5,25843.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-21,25901.2,25934.35,25825.8,25868.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-23,26057.2,26104.2,25862.45,25891.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-24,25935.1,25944.15,25718.2,25795.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-27,25843.2,26005.95,25827.0,25966.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-28,25939.95,26041.7,25810.05,25936.2,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-29,25982.0,26097.85,25960.3,26053.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-30,25984.4,26032.05,25845.25,25877.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-10-31,25863.8,25953.75,25711.2,25722.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-03,25696.85,25803.1,25645.5,25763.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-04,25744.75,25787.4,25578.4,25597.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-06,25593.35,25679.15,25491.55,25509.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-07,25433.8,25551.25,25318.45,25492.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-10,25503.5,25653.45,25503.5,25574.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-11,25617.0,25715.8,25449.25,25694.95,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-12,25834.3,25934.55,25781.15,25875.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-13,25906.1,26010.7,25808.4,25879.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-14,25767.9,25940.2,25740.8,25910.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-17,25948.2,26024.2,25906.35,26013.45,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-18,26021.8,26029.85,25876.5,25910.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-19,25918.1,26074.65,25856.2,26052.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
